Month July     Date,TEMP. (?),pH,TSS(mg/l),BOD (mg/l),COD(mg/l),DO(mg/l),pH,TSS(mg/l),BOD(mg/l),COD(mg/l),DO(mg/l)
22-05-2023,27,8.34,228,170,228,0,8.02,14,16,64,5.1
23-05-2023,28,8.28,205,195,248,0.4,8.15,10,20,52,5.3
24-05-2023,26,7.32,215,180,308,0.1,8.02,9,19,56,5.2
25-05-2023,23,8.52,216,165,312,0.1,7.71,14,16,36,5.1
26-05-2023,23,8.64,235,180,292,0,8.36,9,12,48,5.2
27-05-2023,25,7.36,243,190,296,0,8.74,10,18,64,5.1
28-05-2023,24,7.76,224,175,264,0.1,8.24,12,14,32,5.4
29-05-2023,23,8.68,232,180,268,0,8.34,9,16,52,5.1
30-05-2023,22,8.38,255,130,300,0,8.02,12,19,40,5.3
31-05-2023,21,8.42,224,170,292,0,8.14,10,12,52,5.2
01-06-2023,22,7.21,246,150,268,0.1,8.03,11,10,40,5.3
02-06-2023,21,7.32,237,115,212,0.3,7.36,9,7,32,5.2
03-06-2023,24,8.04,227,140,228,0,8.18,10,8,28,5.1
04-06-2023,25,8.42,170,175,272,0,8.14,9,10,40,5
05-06-2023,27,8.12,211,165,300,0,8.22,17,6,44,5.3
06-06-2023,28,7.92,203,130,208,0.1,7.51,10,5,52,5.4
07-06-2023,27,7.8,198,155,260,0,8.06,8,9,40,5.1
08-06-2023,28,7.71,170,165,224,0,7.92,14,8,36,5.2
09-06-2023,26,8.14,234,160,232,0.2,8.06,11,6,28,5.3
10-06-2023,28,8.2,241,170,264,0,8.12,8,7,48,5.1
11-06-2023,27,8.07,212,185,212,0,8.14,9,11,32,5.6
12-06-2023,28,8.31,226,155,240,0.1,7.8,16,5,40,5.3
13-06-2023,27,8.28,217,180,312,0,7.98,10,7,36,5.2
14-06-2023,27,8.3,253,195,248,0,8.12,14,9,28,5.2
15-06-2023,28,8.2,200,125,296,0,7.75,15,7,32,5.3
16-06-2023,26,8.16,240,160,208,0,7.26,10,11,48,5.4
17-06-2023,27,8.34,211,135,216,0,8.13,13,9,40,5.2
18-06-2023,28,8.26,199,180,264,0.2,8.09,8,10,24,5.6
19-06-2023,29,8.42,208,145,224,0,8.02,11,5,28,5.3
20-06-2023,28,8.35,217,165,212,0,8.12,15,8,40,5.4
21-06-2023,29,8.01,234,150,228,0,8.22,10,6,48,5.1
22-06-2023,27,8.14,242,165,296,0,8.19,8,5,36,5.2
23-06-2023,28,8.36,199,130,232,0.1,8.24,11,10,52,5.3
24-06-2023,27,8.32,229,145,212,0,8.32,8,7,40,5.4
25-06-2023,27,8.15,254,160,300,0,8.38,13,9,28,5.1
26-06-2023,26,8.04,212,115,208,0,8.12,15,5,32,5.2
27-06-2023,27,8.12,227,135,268,0,8.18,12,7,48,5.6
28-06-2023,26,8.44,212,195,212,0.3,8.32,11,10,36,5.3
29-06-2023,26,8.28,235,160,300,0,8.01,13,6,52,5.2
30-06-2023,26,8.39,218,150,212,0,8.28,12,7,40,5.1
01-07-2023,28,8.29,183,135,272,0.3,8.06,14,9,44,5.3
02-07-2023,29,8.16,201,120,268,0.4,7.89,10,12,56,5
03-07-2023,27,8.32,181,175,220,0,8.42,11,7,40,5.1
04-07-2023,28,8.15,239,180,216,0,8.34,13,10,36,5.4
05-07-2023,27,8.42,253,155,200,0.1,7.94,15,9,40,5.3
06-07-2023,26,8.05,212,185,284,0,8.18,9,6,32,5.1
07-07-2023,26,8.02,255,120,220,0,8.12,12,8,28,5.2
08-07-2023,28,8.16,185,150,232,0,8.32,10,6,40,5.4
09-07-2023,26,7.12,186,130,284,0.3,7.32,12,12,28,5.3
10-07-2023,25,7.09,233,175,312,0.1,7.21,16,16,36,5.2
11-07-2023,26,8.14,215,165,224,0,8.22,18,7,40,5.1
12-07-2023,24,7.78,254,135,272,0.1,8.09,17,9,36,5.4
13-07-2023,25,7.92,248,150,300,0,8.14,11,12,44,5.2
14-07-2023,26,8.02,235,170,268,0.3,8.09,15,14,56,5.3
15-07-2023,27,7.84,255,140,260,0,7.68,18,7,28,5.4
16-07-2023,27,7.32,244,185,300,0.1,8.09,12,10,32,5.1
17-07-2023,25,8.19,181,165,216,0,8.28,16,6,40,5.6
18-07-2023,26,8.48,218,150,240,0,8.41,10,12,32,5.2
19-07-2023,27,8.04,235,175,232,0,7.94,15,11,36,5.4
20-07-2023,26,8.24,248,160,288,0.3,7.92,12,8,48,5.2
21-07-2023,28,8.12,258,150,260,0,8.26,13,14,28,5.6
22-07-2023,27,8.03,212,165,284,0,8.22,15,10,48,5.3
23-07-2023,26,8.01,258,135,200,0.1,8.13,18,21,52,5.6
24-07-2023,28,8.16,276,180,272,0.2,8.02,15,25,44,5.1
25-07-2023,27,8.09,248,175,300,0,7.68,16,14,36,5.1
26-07-2023,27,7.94,256,150,268,0,7.91,10,11,56,5.3
27-07-2023,26,8.42,257,165,296,0.1,8.34,14,16,48,5.2
28-07-2023,25,8.48,248,170,300,0,8.44,13,10,52,5.3
29-07-2023,26,8.36,259,175,260,0,7.98,15,14,32,5.1
30-07-2023,25,8.04,224,135,248,0,8.55,12,9,48,5.4
31-07-2023,26,8.16,278,150,296,0,8.22,11,12,40,5.1
01-08-2023,26,8.18,213,125,244,0.4,8.02,14,9,28,5
02-08-2023,25,8.09,230,150,284,0.6,8.16,12,11,32,4.9
03-08-2023,27,8.14,249,140,212,0,8.32,11,6,48,5.1
04-08-2023,27,8.15,216,165,256,0,8.42,10,9,40,5.2
05-08-2023,26,7.92,219,135,268,0.2,7.98,14,8,36,5.4
06-08-2023,26,7.84,208,160,248,0.1,8.03,13,12,40,5
07-08-2023,25,8.28,224,175,300,0,8.16,16,14,36,5.3
08-08-2023,26,7.64,248,150,288,0,8.01,15,13,28,4.9
09-08-2023,28,8.22,218,185,268,0,8.28,12,14,32,5
10-08-2023,26,7.34,207,180,256,0,7.78,11,12,40,4.9
11-08-2023,27,7.42,214,165,284,0,7.92,9,16,48,5.2
12-08-2023,25,7.32,302,200,308,0.3,7.36,16,15,28,5.3
13-08-2023,25,8.04,312,195,300,0.6,8.01,18,18,40,4.7
14-08-2023,26,7.74,296,190,312,0.1,7.74,14,14,32,4.3
15-08-2023,25,7.76,284,175,288,0,8.09,10,12,48,5.1
16-08-2023,26,7.92,233,185,264,0,8.01,13,9,28,5
17-08-2023,26,8.14,218,160,288,0,8.28,11,10,36,5.2
18-08-2023,27,8.09,265,195,300,0,8.21,14,11,40,4.9
19-08-2023,26,8.14,277,150,288,0.3,8.04,16,9,52,5.3
20-08-2023,25,8.12,249,190,264,0,8.18,13,13,48,5
21-08-2023,27,8.18,219,180,256,0,7.98,10,8,32,4.8
22-08-2023,27,8.04,272,135,312,0,8.14,15,10,48,4.7
23-08-2023,26,8.09,228,165,268,0.4,8.16,14,14,40,5.3
24-08-2023,25,8.11,255,150,288,0.1,8.04,12,12,36,5
25-08-2023,25,7.94,248,190,296,0,7.72,11,10,48,5.4
26-08-2023,26,7.98,233,185,300,0,8.12,10,13,28,5.2
27-08-2023,27,8.16,254,165,212,0,8.04,12,9,40,5
28-08-2023,26,8.04,234,170,288,0.1,7.78,14,12,52,4.9
29-08-2023,25,8.14,224,150,268,0,8.04,12,9,48,4.8
30-08-2023,25,7.68,232,135,212,0,8.16,14,10,36,5.1
31-08-2023,26,8.09,216,150,244,0,8.14,11,9,28,5.3
01-09-2023,27,8.39,210,135,240,0.6,8.32,14,9,36,5
02-09-2023,25,8.18,243,140,212,0,7.64,17,10,40,4.9
03-09-2023,26,8.09,249,155,268,0.2,8.14,16,8,36,5.2
04-09-2023,25,8.12,250,110,212,0,8.09,13,11,48,5
05-09-2023,26,8.14,248,140,220,0.9,8.12,14,9,32,5.2
06-09-2023,27,8.06,233,155,284,0.6,8.24,12,12,28,4.8
07-09-2023,26,7.78,200,135,260,0,8.04,10,8,44,4.9
08-09-2023,26,8.16,213,125,240,0,8.08,11,6,36,5.3
09-09-2023,25,8.14,243,100,268,0,7.72,14,11,40,5
10-09-2023,27,7.76,248,155,224,0,8.06,10,13,28,5.2
11-09-2023,26,8.09,264,140,228,0,8.05,11,12,52,5
12-09-2023,25,8.14,249,110,216,0,8.02,10,9,40,4.9
13-09-2023,27,7.94,208,170,300,0.1,7.72,12,10,32,5.1
14-09-2023,27,8.16,243,155,264,0,7.82,14,12,48,5.3
15-09-2023,26,8.13,238,125,268,0,7.78,12,8,44,5
16-09-2023,27,7.54,214,140,212,0,7.86,13,11,28,4.8
17-09-2023,26,7.82,254,165,264,0,7.59,15,14,32,4.9
18-09-2023,25,7.56,264,135,224,0,8.14,11,12,44,5.3
19-09-2023,25,7.58,238,150,220,0,7.26,12,10,40,5
20-09-2023,25,8.12,248,140,288,0.3,7.16,14,9,44,5.1
21-09-2023,26,8.16,224,155,284,0,7.78,11,13,28,5.2
22-09-2023,25,8.01,238,140,264,0,8.09,13,11,32,5
23-09-2023,25,7.54,244,135,224,0,8.12,11,9,36,5.1
24-09-2023,26,8.16,218,115,212,0,8.14,10,8,40,4.8
25-09-2023,26,8.09,232,150,288,0.3,8.01,9,10,32,5.2
26-09-2023,25,8.06,248,170,300,0.2,8.13,12,11,28,5.1
27-09-2023,26,8.16,214,155,264,0,7.94,13,7,40,5
28-09-2023,25,8.11,232,135,228,0,8.15,12,9,52,5.3
29-09-2023,25,8.04,242,155,224,0,7.96,13,11,40,5
30-09-2023,26,8.02,254,165,284,0,8.09,16,14,44,5.1
01-10-2023,24,7.84,228,140,260,0,8.01,14,12,32,5.3
02-10-2023,25,8.08,206,135,220,0,8.09,16,9,28,5
03-10-2023,26,7.76,225,160,240,0.3,7.94,18,14,40,4.7
04-10-2023,25,8.12,224,175,300,0.1,8.06,20,21,60,4.9
05-10-2023,25,7.76,268,165,288,0,7.84,21,18,44,4.6
06-10-2023,26,7.84,274,160,296,0,7.82,20,19,52,4.5
07-10-2023,24,7.72,258,155,220,0,7.68,22,20,64,4.6
08-10-2023,25,7.68,264,145,260,0,7.94,15,18,40,4.8
09-10-2023,25,8.16,268,165,300,0.1,8.05,20,21,52,4.7
10-10-2023,24,8.09,254,175,288,0.3,7.64,18,19,32,4.8
11-10-2023,24,8.08,272,155,216,0,8.02,21,22,40,5
12-10-2023,25,7.64,264,145,296,0,8.11,23,21,64,4.9
13-10-2023,24,7.59,276,155,272,0,7.64,22,19,40,4.8
14-10-2023,24,8.07,298,135,248,0,8.12,24,22,60,4.9
15-10-2023,23,8.09,265,140,296,0,8.01,21,19,52,4.7
16-10-2023,23,7.54,268,175,284,0,8.14,23,21,64,5
17-10-2023,20,8.11,248,180,260,0,8.06,21,24,44,5.2
18-10-2023,22,8.14,234,160,272,0,7.92,18,22,52,5
19-10-2023,22,8.02,244,135,224,0,8.14,19,20,44,4.8
20-10-2023,23,7.49,276,160,248,0.3,8.03,15,23,64,5.1
21-10-2023,20,8.01,268,175,288,0.9,8.01,22,21,56,5.3
22-10-2023,22,8.16,272,150,260,0.1,8.12,19,23,44,5.1
23-10-2023,22,8.13,244,135,272,0,7.76,21,22,40,4.7
24-10-2023,21,7.69,256,155,220,0,7.84,18,18,36,4.6
25-10-2023,21,8.16,278,180,260,0.1,7.92,23,20,60,4.8
26-10-2023,20,7.94,282,160,248,0,8.09,21,21,44,5
27-10-2023,20,7.79,284,165,296,0,8.13,24,18,64,5.2
28-10-2023,21,8.06,274,170,260,0.3,8.11,18,20,52,5
29-10-2023,20,8.01,289,150,276,0,8.02,22,24,40,4.9
30-10-2023,21,8.07,276,135,224,0.1,8.09,23,21,56,4.9
31-10-2023,20,7.66,282,170,260,0,8.01,20,18,44,5.1
01-11-2023,19,8.16,298,135,236,0,8.03,22,18,52,4.7
02-11-2023,20,8.09,284,120,264,0,7.64,18,14,36,4.6
03-11-2023,20,8.12,294,155,240,0,7.93,15,19,28,5
04-11-2023,19,7.94,276,115,236,0,8.11,21,18,36,4.9
05-11-2023,20,8.09,234,135,244,0,8.04,24,21,40,4.7
06-11-2023,19,8.04,248,120,236,0.1,7.94,21,19,60,4.9
07-11-2023,18,8.08,242,165,300,0,8.04,19,22,44,5
08-11-2023,18,7.96,268,170,280,0,8.11,20,16,32,4.8
09-11-2023,17,8.09,244,100,244,0.3,7.94,16,21,40,4.6
10-11-2023,18,8.14,272,115,300,0.1,7.65,19,18,52,4.7
11-11-2023,16,8.11,254,130,224,0,8.11,21,19,40,5
12-11-2023,16,7.96,269,105,288,0,8.06,23,26,36,4.9
13-11-2023,17,8.09,248,120,244,0,8.12,18,21,60,4.8
14-11-2023,16,7.64,294,140,236,0,7.94,24,28,52,5
15-11-2023,16,7.78,276,115,300,0,8.06,19,23,44,4.9
16-11-2023,17,7.62,282,135,288,0,8.01,21,26,52,4.7
17-11-2023,16,8.09,272,170,220,0,8.02,24,19,60,5.1
18-11-2023,15,8.11,278,155,288,0,7.74,26,20,44,5
19-11-2023,17,8.06,292,140,224,0.1,8.01,27,24,52,4.9
20-11-2023,17,7.69,284,150,212,0,8.09,21,28,40,4.8
21-11-2023,15,7.54,282,135,236,0,8.02,18,22,56,5
22-11-2023,16,7.82,296,115,244,0,8.01,23,23,44,4.7
23-11-2023,16,8.01,274,170,276,0.1,7.92,26,19,52,4.9
24-11-2023,15,7.64,262,136,308,0,7.68,21,28,64,5.3
25-11-2023,15,8.12,292,175,264,0,7.69,22,24,36,5
26-11-2023,15,8.02,284,135,284,0,8.11,19,26,60,4.8
27-11-2023,16,7.62,296,160,248,0.2,7.92,25,23,52,4.7
28-11-2023,15,7.77,274,195,236,0,7.96,22,19,44,5
29-11-2023,16,8.06,278,180,300,0,8.02,18,22,64,5.1
30-11-2023,16,8.11,282,190,288,0.1,8.16,22,24,40,4.9
01-12-2023,14,8.09,298,170,296,0,8.01,28,24,40,4.7
02-12-2023,12,8.06,284,185,228,0,7.69,23,28,60,4.6
03-12-2023,12,7.92,292,150,300,0,8.04,19,25,44,5
04-12-2023,13,7.76,274,210,284,0,8.11,24,27,40,4.9
05-12-2023,13,7.62,296,100,288,0.1,7.78,22,23,56,4.7
06-12-2023,12,8.03,262,195,308,0,8.04,23,21,40,5.1
07-12-2023,12,8.16,256,150,280,0,7.72,26,25,64,4.7
08-12-2023,11,7.54,272,130,300,0,8.06,19,24,72,4.9
09-12-2023,12,7.68,298,125,276,0,8.09,21,19,56,5
10-12-2023,12,8.05,284,165,264,0,8.01,23,28,60,4.8
11-12-2023,11,8.09,268,150,308,0.1,8.16,26,25,36,5.1
12-12-2023,12,8.12,272,200,312,0.4,8.03,22,29,40,5
13-12-2023,12,8.04,298,190,276,0,7.72,26,24,44,4.9
14-12-2023,11,7.75,284,150,280,0,7.84,25,28,32,4.7
15-12-2023,12,8.14,296,170,272,0,7.94,29,23,64,5.1
16-12-2023,11,7.76,272,165,300,0,8.09,24,24,40,4.8
17-12-2023,11,7.64,284,195,244,0,8.03,21,26,28,5
18-12-2023,10,7.92,288,155,288,0,8.11,29,28,40,4.7
19-12-2023,11,8.06,292,110,276,0,8.01,25,21,32,4.9
20-12-2023,10,8.01,298,170,312,0,7.72,28,25,72,4.8
21-12-2023,10,7.96,281,150,292,0,7.92,24,23,64,5.1
22-12-2023,11,8.04,296,165,308,0,7.84,29,24,44,5
23-12-2023,9,8.02,275,155,252,0,8.09,27,22,60,5.2
24-12-2023,10,7.92,284,160,296,0,8.11,25,26,56,5
25-12-2023,9,7.84,291,150,276,0,8.01,28,29,44,5
26-12-2023,9,8.11,298,130,272,0,8.12,26,22,40,4.9
27-12-2023,10,7.94,272,175,288,0,8.01,28,20,52,4.8
28-12-2023,9,7.92,299,150,276,0.1,7.21,26,25,72,5.1
29-12-2023,9,8.11,284,185,244,0,7.98,29,29,44,4.7
30-12-2023,10,8.03,291,195,308,0,7.93,25,27,60,4.5
31-12-2023,10,7.62,276,170,280,0,8.06,21,25,36,4.9
01-01-2024,10,7.96,292,150,244,0,7.92,28,29,52,5
02-01-2024,9,7.48,268,175,200,0,7.64,26,26,40,4.7
03-01-2024,9,8.01,284,190,276,0,7.82,30,21,36,5.1
04-01-2024,10,7.62,296,175,288,0.1,8.03,34,26,60,4.8
05-01-2024,10,7.48,282,105,264,0,7.98,31,24,52,4.5
06-01-2024,9,8.06,268,130,276,0,7.76,28,28,60,4.9
07-01-2024,10,7.94,278,190,244,0,8.01,30,23,64,5
08-01-2024,10,7.46,294,180,228,0,7.24,29,29,44,4.8
09-01-2024,9,7.62,282,150,276,0,8.01,26,25,52,4.7
10-01-2024,9,8.06,294,160,284,0,7.92,28,28,60,4.6
11-01-2024,10,8.01,274,165,276,0,8.02,24,21,52,4.9
12-01-2024,8,8.09,282,170,300,0,8.06,21,25,36,4.8
13-01-2024,9,7.48,296,130,296,0,8.02,28,28,40,5
14-01-2024,9,7.44,272,185,308,0.1,8.01,26,26,28,4.9
15-01-2024,8,8.03,268,195,288,0,7.92,24,21,32,5.2
16-01-2024,9,7.44,292,160,308,0,7.48,28,24,60,4.8
17-01-2024,8,7.98,298,130,228,0,8.03,23,28,56,4.7
18-01-2024,9,8.01,284,195,244,0,8.01,25,25,44,5
19-01-2024,9,7.94,282,170,300,0,8.04,23,21,52,4.9
20-01-2024,10,7.06,296,165,224,0,8.03,26,24,32,5.1
21-01-2024,9,7.24,278,160,308,0,7.96,30,20,40,4.8
22-01-2024,8,7.62,276,185,296,0,7.08,26,25,44,4.7
23-01-2024,10,8.03,299,130,300,0.2,8.01,28,29,60,4.8
24-01-2024,9,8.01,268,195,280,0,7.94,24,24,36,5.1
25-01-2024,9,7.54,282,135,228,0,7.92,21,20,44,5
26-01-2024,8,8.04,296,180,240,0,8.02,26,25,40,4.7
27-01-2024,9,8.01,292,175,276,0,8.06,24,28,56,4.8
28-01-2024,9,8.12,296,160,308,0.1,7.94,29,23,72,4.7
29-01-2024,10,8.04,282,190,300,0,8.03,25,21,44,5.1
30-01-2024,9,7.98,268,185,240,0,8.14,24,28,36,4.9
31-01-2024,8,7.64,272,150,284,0,8.09,21,23,40,5.2
01-02-2024,9,8.01,284,170,280,0,7.22,19,21,44,4.6
02-02-2024,8,7.46,296,145,248,0,7.11,23,24,32,4.8
03-02-2024,9,7.32,282,140,308,0,7.18,24,29,60,4.7
04-02-2024,9,7.46,276,165,236,0.1,8.03,19,25,44,5
05-02-2024,8,7.09,284,170,248,0,7.11,25,20,52,4.8
06-02-2024,10,8.06,296,185,300,0,8.04,29,23,48,4.7
07-02-2024,10,7.46,268,160,244,0,7.22,24,21,44,5.1
08-02-2024,9,8.01,294,195,224,0,8.09,26,26,48,4.6
09-02-2024,10,7.48,282,180,280,0,8.03,21,20,32,4.9
10-02-2024,11,7.53,268,170,296,0,7.64,24,24,28,4.8
11-02-2024,13,7.46,296,185,268,0.1,7.68,25,20,52,4.7
12-02-2024,12,7.54,264,160,248,0,8.01,23,21,60,5
13-02-2024,12,7.35,282,175,276,0,7.21,20,23,36,4.8
14-02-2024,13,7.32,276,130,280,0,7.18,24,20,40,4.9
15-02-2024,13,8.01,280,165,256,0,8.05,23,26,52,4.8
16-02-2024,14,8.06,254,150,248,0,8.03,25,24,40,5
17-02-2024,12,8.01,296,170,252,0.1,7.48,20,19,32,4.7
18-02-2024,13,7.54,284,135,296,0,7.52,21,25,28,5.1
19-02-2024,13,7.58,292,180,244,0,8.06,24,22,40,4.9
20-02-2024,14,8.01,278,120,248,0,7.48,29,26,40,4.8
21-02-2024,12,7.48,252,175,292,0,7.42,21,20,60,4.9
22-02-2024,13,7.46,266,160,276,0,7.68,28,24,48,5
23-02-2024,13,7.93,282,145,248,0,8.06,23,23,60,4.9
24-02-2024,14,8.01,256,190,300,0,7.46,22,26,36,4.7
25-02-2024,14,7.42,268,185,224,0,7.54,25,21,44,4.8
26-02-2024,13,7.32,292,135,248,0.1,7.48,27,26,36,4.7
27-02-2024,13,7.68,276,160,280,0,7.68,24,22,60,4.9
28-02-2024,14,7.48,272,195,276,0,8.01,22,19,48,5
29-02-2024,14,7.46,268,180,248,0,7.22,25,15,60,4.8
01-03-2024,13,7.09,264,185,292,0,7.19,15,24,48,5
02-03-2024,14,7.18,248,125,276,0,7.21,21,20,28,4.7
03-03-2024,13,7.22,276,170,300,0,8.03,24,22,36,4.9
04-03-2024,13,8.04,257,190,264,0.4,8.09,29,19,52,5.2
05-03-2024,14,7.21,248,155,292,0,8.05,26,26,32,5
06-03-2024,13,7.09,268,140,240,0,7.48,20,24,60,5
07-03-2024,14,8.01,294,185,296,0,7.25,24,25,44,5.1
08-03-2024,15,8.06,267,170,252,0.1,7.28,21,20,52,4.7
09-03-2024,16,7.16,264,190,300,0,8.06,25,22,56,4.9
10-03-2024,16,7.09,292,185,288,0,7.24,21,21,40,4.9
11-03-2024,17,7.21,294,145,264,0,8.01,26,28,52,5.2
12-03-2024,17,8.06,274,175,296,0,8.02,28,25,40,4.8
13-03-2024,16,8.04,268,165,240,0,7.98,24,20,32,4.8
14-03-2024,16,8.04,257,195,276,0.4,8.03,29,23,28,5.2
15-03-2024,18,8.05,274,235,300,0,8.01,25,27,60,4.7
16-03-2024,17,8.09,292,160,308,0,8.04,20,24,52,5
17-03-2024,18,7.48,280,185,276,0,8.01,26,25,36,5.1
18-03-2024,19,7.24,294,145,288,0.6,7.28,28,28,48,4.8
19-03-2024,19,7.21,292,130,292,0.1,7.16,26,24,56,4.9
20-03-2024,20,7.09,282,175,240,0,7.4,29,29,44,4.7
21-03-2024,21,7.04,264,180,268,0,7.03,24,23,40,4.9
22-03-2024,20,7.2,272,140,288,0,7.18,27,22,32,5
23-03-2024,22,7.09,294,165,264,0,7.05,32,27,56,4.4
24-03-2024,22,6.05,288,190,240,0,7.03,29,24,28,4.9
25-03-2024,24,7.01,286,165,300,0,7.16,34,27,48,4.7
26-03-2024,23,7.03,292,150,276,0,7.14,28,23,60,4.8
27-03-2024,24,7.08,266,170,252,0,7.01,25,29,56,5
28-03-2024,23,7.01,300,130,308,0,7.12,32,25,72,4.5
29-03-2024,23,7.06,295,160,288,0,7.18,29,28,60,4.9
30-03-2024,24,7.02,284,140,244,0,7.09,36,21,72,4.7
31-03-2024,24,7.01,292,165,264,0,7.08,34,27,48,5
